避難收容處所名稱,縣市及鄉鎮市區,經度,緯度,is_indoor,nearest_station,nearest_aqi,distance_km,risk_label
臺南市東山區聖賢里頂田活動中心,臺南市東山區,120.3472,23.3096,True,新營,74,3.09,Normal
臺南市新營區公所,臺南市新營區,120.3166,23.31,True,新營,74,0.49,Normal
長濱國中,臺東縣長濱鄉,121.458956,23.314728,True,關山,24,42.67,Normal
臺南市新營區新進國民小學,臺南市新營區,120.3164,23.315,False,新營,74,1.05,Warning
埔頂集會所,嘉義縣大埔鄉,120.5801,23.3156,True,嘉義,86,21.82,Normal
臺南市新營區新泰國民小學,臺南市新營區,120.3273,23.3161,False,新營,74,1.55,Warning
臺南市東山區東山國中,臺南市東山區,120.4031,23.3166,True,新營,74,8.85,Normal
臺南市鹽水區月津國小,臺南市鹽水區,120.2663,23.3168,True,新營,74,5.35,Normal
臺南市東山區北勢寮泉福宮,臺南市東山區,120.3655,23.3169,True,新營,74,5.08,Normal
臺南市鹽水區老人文康中心,臺南市鹽水區,120.2635,23.3179,True,新營,74,5.66,Normal
樂合社區活動中心,花蓮縣玉里鎮,121.345,23.3183,True,關山,24,35.68,Normal
臺南市鹽水區公所,臺南市鹽水區,120.2662,23.3197,True,新營,74,5.44,Normal
臺南市新營區土庫國民小學,臺南市新營區,120.3452,23.3197,False,新營,74,3.25,Warning
臺南市鹽水區鹽水國中,臺南市鹽水區,120.2631,23.3213,True,新營,74,5.8,Normal
源城社區活動中心,花蓮縣玉里鎮,121.3004,23.3219,True,關山,24,33.88,Normal
臺南市鹽水區鹽水國小,臺南市鹽水區,120.2707,23.3226,True,新營,74,5.11,Normal
臺南市東山區東山國小,臺南市東山區,120.4048,23.3234,True,新營,74,9.16,Normal
臺南市東山區碧軒寺,臺南市東山區,120.4038,23.3252,True,新營,74,9.1,Normal
真柄社區活動中心,臺東縣長濱鄉,121.439437,23.32597,True,關山,24,42.19,Normal
玉里慈惠堂,花蓮縣玉里鎮,121.3139,23.3275,True,關山,24,35.03,Normal
臺南市後壁區福安社區活動中心,臺南市後壁區,120.3567,23.3288,True,新營,74,4.78,Normal
長光社區活動中心,臺東縣長濱鄉,121.461868,23.329484,True,關山,24,44.04,Normal
臺南市鹽水區岸內國小,臺南市鹽水區,120.2609,23.3295,True,新營,74,6.34,Normal
新塭國小-室內,嘉義縣布袋鎮,120.1606,23.3303,True,新營,74,16.23,Normal
新塭國小-室外,嘉義縣布袋鎮,120.160148,23.330464,True,新營,74,16.28,Normal
仙草國小關嶺分校,臺南市白河區,120.5074,23.3307,True,嘉義,86,16.37,Normal
忠勇國小,臺東縣長濱鄉,121.43699,23.331466,True,關山,24,42.48,Normal
臺南市後壁區長安社區活動中心,臺南市後壁區,120.3564,23.3323,True,新營,74,4.98,Normal
臺南市後壁區頂安社區活動中心,臺南市後壁區,120.3525,23.3327,True,新營,74,4.69,Normal
